order_id,order_date,region,channel,category,quantity,unit_price,revenue,refunded
ORD-100001,2026-05-01,EMEA,paid_search,outerwear,1,115.49,115.49,false
ORD-100002,2026-05-01,EMEA,paid_search,outerwear,1,152.28,152.28,false
ORD-100003,2026-05-01,EMEA,paid_search,footwear,3,98.88,296.64,false
ORD-100004,2026-05-01,EMEA,organic,footwear,4,66.65,266.6,false
ORD-100005,2026-05-01,EMEA,paid_search,footwear,1,94.99,94.99,false
ORD-100006,2026-05-01,EMEA,organic,outerwear,1,163.18,163.18,false
ORD-100007,2026-05-01,NA,organic,bags,2,68.59,137.18,false
ORD-100008,2026-05-01,NA,email,outerwear,2,134.19,268.38,false
ORD-100009,2026-05-01,NA,email,bags,1,90.28,90.28,false
ORD-100010,2026-05-01,EMEA,paid_search,outerwear,3,151.14,453.42,false
ORD-100011,2026-05-01,APAC,organic,accessories,1,25.3,25.3,false
ORD-100012,2026-05-01,EMEA,paid_search,footwear,3,90.24,270.72,false
ORD-100013,2026-05-01,EMEA,paid_search,bags,1,65.22,65.22,false
ORD-100014,2026-05-01,EMEA,email,outerwear,1,158.02,158.02,false
ORD-100015,2026-05-01,NA,paid_search,bags,1,85.7,85.7,false
ORD-100016,2026-05-02,NA,email,bags,3,60.7,182.1,false
ORD-100017,2026-05-02,EMEA,paid_search,outerwear,1,127.71,127.71,false
ORD-100018,2026-05-02,NA,paid_search,outerwear,1,111.27,111.27,false
ORD-100019,2026-05-02,NA,organic,outerwear,2,160.1,320.2,false
ORD-100020,2026-05-02,NA,organic,bags,1,65.58,65.58,false
ORD-100021,2026-05-02,EMEA,paid_search,outerwear,1,121.38,121.38,false
ORD-100022,2026-05-03,EMEA,organic,footwear,3,97.95,293.85,false
ORD-100023,2026-05-03,EMEA,paid_search,accessories,4,29.52,118.08,false
ORD-100024,2026-05-03,APAC,email,bags,1,62.11,62.11,false
ORD-100025,2026-05-03,LATAM,paid_search,bags,2,55.77,111.54,true
ORD-100026,2026-05-03,EMEA,paid_search,outerwear,2,198.16,396.32,false
ORD-100027,2026-05-03,EMEA,email,footwear,2,78.49,156.98,false
ORD-100028,2026-05-03,APAC,organic,accessories,2,29.71,59.42,false
ORD-100029,2026-05-03,NA,organic,outerwear,2,181.52,363.04,false
ORD-100030,2026-05-03,EMEA,paid_search,footwear,4,107.68,430.72,false
ORD-100031,2026-05-03,LATAM,organic,accessories,1,35.13,35.13,false
ORD-100032,2026-05-03,NA,affiliate,outerwear,1,155.76,155.76,false
ORD-100033,2026-05-03,EMEA,paid_search,footwear,1,100.11,100.11,false
ORD-100034,2026-05-04,EMEA,email,outerwear,1,127.93,127.93,false
ORD-100035,2026-05-04,EMEA,affiliate,bags,1,80.3,80.3,false
ORD-100036,2026-05-04,EMEA,email,footwear,1,114.01,114.01,false
ORD-100037,2026-05-04,EMEA,organic,bags,2,63.73,127.46,false
ORD-100038,2026-05-04,APAC,email,footwear,1,115.6,115.6,false
ORD-100039,2026-05-04,APAC,organic,outerwear,1,131.2,131.2,false
ORD-100040,2026-05-04,APAC,paid_search,bags,2,51.53,103.06,false
ORD-100041,2026-05-04,EMEA,paid_search,bags,2,85.98,171.96,false
ORD-100042,2026-05-04,EMEA,organic,bags,2,74.62,149.24,false
ORD-100043,2026-05-04,NA,email,footwear,1,82.07,82.07,false
ORD-100044,2026-05-04,EMEA,organic,footwear,3,67.22,201.66,false
ORD-100045,2026-05-04,NA,paid_search,bags,1,81.0,81.0,false
ORD-100046,2026-05-04,NA,affiliate,outerwear,2,154.07,308.14,false
ORD-100047,2026-05-04,NA,paid_search,accessories,3,34.38,103.14,false
ORD-100048,2026-05-04,EMEA,paid_search,bags,1,52.02,52.02,false
ORD-100049,2026-05-04,NA,organic,footwear,3,72.6,217.8,false
ORD-100050,2026-05-05,NA,affiliate,bags,1,89.12,89.12,false
ORD-100051,2026-05-05,EMEA,organic,outerwear,1,152.08,152.08,false
ORD-100052,2026-05-05,NA,paid_search,accessories,1,25.57,25.57,false
ORD-100053,2026-05-05,EMEA,affiliate,bags,1,75.26,75.26,false
ORD-100054,2026-05-05,EMEA,email,outerwear,4,120.88,483.52,false
ORD-100055,2026-05-05,NA,affiliate,accessories,2,33.16,66.32,false
ORD-100056,2026-05-05,NA,organic,bags,1,87.71,87.71,false
ORD-100057,2026-05-05,EMEA,organic,footwear,2,74.2,148.4,false
ORD-100058,2026-05-05,EMEA,email,footwear,2,68.7,137.4,false
ORD-100059,2026-05-05,LATAM,paid_search,bags,1,90.88,90.88,false
ORD-100060,2026-05-05,EMEA,organic,footwear,1,77.24,77.24,false
ORD-100061,2026-05-05,EMEA,paid_search,outerwear,3,170.91,512.73,false
ORD-100062,2026-05-06,EMEA,email,accessories,1,19.74,19.74,false
ORD-100063,2026-05-06,NA,paid_search,outerwear,1,134.34,134.34,false
ORD-100064,2026-05-06,EMEA,organic,bags,1,86.43,86.43,false
ORD-100065,2026-05-06,NA,organic,outerwear,1,190.35,190.35,false
ORD-100066,2026-05-06,NA,email,accessories,4,33.45,133.8,true
ORD-100067,2026-05-06,APAC,paid_search,bags,1,52.52,52.52,false
